"date","Province","Cases","Deaths","Recovered","Tests","...7","...8","...9"
2020-03-27,"OCOA",0,0,0,0,NA,NA,NA
2020-03-27,"SD",79,4,0,0,NA,NA,NA
2020-03-28,"DN",376,5,0,0,NA,NA,NA
2020-03-28,"AZUA",6,0,0,0,NA,NA,NA
2020-03-28,"BAO",0,0,0,0,NA,NA,NA
2020-03-28,"BARA",2,0,0,0,NA,NA,NA
2020-03-28,"DJBON",0,0,0,0,NA,NA,NA
2020-03-28,"DTE",83,21,0,0,NA,NA,NA
2020-03-28,"EP",0,0,0,0,NA,NA,NA
2020-03-28,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-28,"ESP",15,0,0,0,NA,NA,NA
2020-03-28,"IND",1,0,0,0,NA,NA,NA
2020-03-28,"ALT",21,0,0,0,NA,NA,NA
2020-03-28,"ROM",15,0,0,0,NA,NA,NA
2020-03-28,"VEGA",48,1,0,0,NA,NA,NA
2020-03-28,"MTS",4,0,0,0,NA,NA,NA
2020-03-28,"MC",1,0,0,0,NA,NA,NA
2020-03-28,"PED",0,0,0,0,NA,NA,NA
2020-03-28,"PERV",1,0,0,0,NA,NA,NA
2020-03-28,"PPLATA",16,0,0,0,NA,NA,NA
2020-03-28,"MIRABAL",10,0,0,0,NA,NA,NA
2020-03-28,"SAM",9,1,0,0,NA,NA,NA
2020-03-28,"SCBAL",9,0,0,0,NA,NA,NA
2020-03-28,"SJUAN",3,1,0,0,NA,NA,NA
2020-03-28,"SPM",16,2,0,0,NA,NA,NA
2020-03-28,"SRAM",7,0,0,0,NA,NA,NA
2020-03-28,"STGO",97,2,0,0,NA,NA,NA
2020-03-28,"SROD",2,0,0,0,NA,NA,NA
2020-03-28,"VALV",2,0,0,0,NA,NA,NA
2020-03-28,"NOUEL",11,1,0,0,NA,NA,NA
2020-03-28,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-28,"HMAYOR",2,0,0,0,NA,NA,NA
2020-03-28,"OCOA",0,0,0,0,NA,NA,NA
2020-03-28,"SD",101,5,0,0,NA,NA,NA
2020-03-29,"DN",381,5,0,0,NA,NA,NA
2020-03-29,"AZUA",7,0,0,0,NA,NA,NA
2020-03-29,"BAO",0,0,0,0,NA,NA,NA
2020-03-29,"BARA",3,0,0,0,NA,NA,NA
2020-03-29,"DJBON",0,0,0,0,NA,NA,NA
2020-03-29,"DTE",90,22,0,0,NA,NA,NA
2020-03-29,"EP",0,0,0,0,NA,NA,NA
2020-03-29,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-29,"ESP",15,0,0,0,NA,NA,NA
2020-03-29,"IND",1,0,0,0,NA,NA,NA
2020-03-29,"ALT",29,0,0,0,NA,NA,NA
2020-03-29,"ROM",21,0,0,0,NA,NA,NA
2020-03-29,"VEGA",48,1,0,0,NA,NA,NA
2020-03-29,"MTS",4,0,0,0,NA,NA,NA
2020-03-29,"MC",1,0,0,0,NA,NA,NA
2020-03-29,"PED",1,0,0,0,NA,NA,NA
2020-03-29,"PERV",4,0,0,0,NA,NA,NA
2020-03-29,"PPLATA",16,0,0,0,NA,NA,NA
2020-03-29,"MIRABAL",10,0,0,0,NA,NA,NA
2020-03-29,"SAM",9,1,0,0,NA,NA,NA
2020-03-29,"SCBAL",9,0,0,0,NA,NA,NA
2020-03-29,"SJUAN",5,1,0,0,NA,NA,NA
2020-03-29,"SPM",17,2,0,0,NA,NA,NA
2020-03-29,"SRAM",9,2,0,0,NA,NA,NA
2020-03-29,"STGO",97,2,0,0,NA,NA,NA
2020-03-29,"SROD",2,0,0,0,NA,NA,NA
2020-03-29,"VALV",2,0,0,0,NA,NA,NA
2020-03-29,"NOUEL",11,1,0,0,NA,NA,NA
2020-03-29,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-29,"HMAYOR",2,0,0,0,NA,NA,NA
2020-03-29,"OCOA",0,0,0,0,NA,NA,NA
2020-03-29,"SD",106,5,0,0,NA,NA,NA
2020-03-30,"DN",462,9,0,0,NA,NA,NA
2020-03-30,"AZUA",7,0,0,0,NA,NA,NA
2020-03-30,"BAO",0,0,0,0,NA,NA,NA
2020-03-30,"BARA",3,0,0,0,NA,NA,NA
2020-03-30,"DJBON",0,0,0,0,NA,NA,NA
2020-03-30,"DTE",94,22,0,0,NA,NA,NA
2020-03-30,"EP",0,0,0,0,NA,NA,NA
2020-03-30,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-30,"ESP",22,0,0,0,NA,NA,NA
2020-03-30,"IND",1,0,0,0,NA,NA,NA
2020-03-30,"ALT",29,0,0,0,NA,NA,NA
2020-03-30,"ROM",21,0,0,0,NA,NA,NA
2020-03-30,"VEGA",65,2,0,0,NA,NA,NA
2020-03-30,"MTS",6,1,0,0,NA,NA,NA
2020-03-30,"MC",1,0,0,0,NA,NA,NA
2020-03-30,"PED",1,0,0,0,NA,NA,NA
2020-03-30,"PERV",4,0,0,0,NA,NA,NA
2020-03-30,"PPLATA",28,0,0,0,NA,NA,NA
2020-03-30,"MIRABAL",11,0,0,0,NA,NA,NA
2020-03-30,"SAM",12,1,0,0,NA,NA,NA
2020-03-30,"SCBAL",13,1,0,0,NA,NA,NA
2020-03-30,"SJUAN",5,2,0,0,NA,NA,NA
2020-03-30,"SPM",18,3,0,0,NA,NA,NA
2020-03-30,"SRAM",10,2,0,0,NA,NA,NA
2020-03-30,"STGO",122,2,0,0,NA,NA,NA
2020-03-30,"SROD",2,0,0,0,NA,NA,NA
2020-03-30,"VALV",4,0,0,0,NA,NA,NA
2020-03-30,"NOUEL",19,1,0,0,NA,NA,NA
2020-03-30,"MPLATA",1,0,0,0,NA,NA,NA
2020-03-30,"HMAYOR",3,0,0,0,NA,NA,NA
2020-03-30,"OCOA",0,0,0,0,NA,NA,NA
2020-03-30,"SD",145,5,0,0,NA,NA,NA
2020-03-31,"DN",520,11,0,0,NA,NA,NA
2020-03-31,"AZUA",7,0,0,0,NA,NA,NA
2020-03-31,"BAO",0,0,0,0,NA,NA,NA
